cod_scuola,nome_scuola,indirizzo_scuola,sito_scuola,scuola_paritaria,id_provincia,id_regione,id_comune,comune_scuola,num_diplomati_x_coorte,indice_fga,fga_forchetta_bassa,fga_forchetta_alta,indice_perc_cfu,indice_media_voti,completamento_pct,tasso_immatricolazione_pct,tasso_non_immatricolazione_pct,abbandono_pct,voto_medio_immatricolati,voto_medio_non_immatricolati,comune_di_ricerca,raggio_km_ricerca,tipologia_ricerca
MCPC04001R,GIACOMO LEOPARDI,CSO GARIBALDI 17,http://classicomacerata.gov.it/,0,43,11,43012,Cingoli,14,54.9,43.82,66.9,49.29,25.26,8.5,80.95,19.05,11.9,81.5,76.75,Macerata,10,Scienze Umane
MCPM505001,BAMBIN GESU',VIA CASTELLO 4,http://www.liceobambingesu.org/,1,43,11,43047,San Severino Marche,0,,,,,,0.0,,,,,,Macerata,10,Scienze Umane
MCPM0L500Q,IRENEO ALEANDRI,VIA CINCINELLI 4,http://www.istitutoaleandri.it/,1,43,11,43023,Macerata,20,34.46,22.7,49.63,16.33,24.31,0.0,49.18,50.82,19.67,75.73,70.77,Macerata,10,Scienze Umane - Economico sociale
MCPL5Z500O,IRENEO ALEANDRI,VIA CINCINELLI 4,http://www.istitutoaleandri.it/,1,43,11,43023,Macerata,15,37.66,24.28,56.18,27.4,23.75,0.0,51.11,48.89,24.44,78.26,71.41,Macerata,10,Linguistico
MCSD01000D,CANTALAMESSA,VIA FRATELLI CIOCI 2,http://www.liceoartisticomacerata.gov.it/,0,43,11,43023,Macerata,0,,,,,,0.0,,,,,,Macerata,10,Artistico
MCTD01000V,ALBERICO GENTILI,VIA CIOCI 6,http://itcmacerata.gov.it/,0,43,11,43023,Macerata,88,58.82,53.85,64.23,59.64,24.96,6.96,73.86,26.14,10.61,86.19,76.09,Macerata,10,Tecnico - Economico
MCTD00500B,IRENEO ALEANDRI,VIA CINCINELLI 4,http://www.istitutoaleandri.it/,1,43,11,43023,Macerata,26,,,,,,0.0,,,,,,Macerata,10,Tecnico - Economico
MCTL00801A,BRAMANTE - PANNAGGI,VIA GASPARRINI 11,http://www.bramantepannaggi.gov.it/,0,43,11,43023,Macerata,20,69.81,58.73,81.42,66.33,26.8,7.64,55.74,44.26,4.92,85.97,82.07,Macerata,10,Tecnico - Tecnologico
MCTA009019,GIUSEPPE GARIBALDI,CONTRADA LORNANO 6,http://www.itagaribaldi.it/,0,43,11,43023,Macerata,116,65.23,60.37,70.73,68.56,25.43,7.01,58.62,41.38,11.78,83.56,75.51,Macerata,10,Tecnico - Tecnologico
PSPC03000N,TERENZIO MAMIANI,VIA GRAMSCI 2,http://www.liceomamianipesaro.it/liceomamiani/,0,41,11,41044,Pesaro,47,71.38,65.38,77.95,69.9,26.74,7.67,88.73,11.27,14.08,90.62,79.75,Pesaro,10,Classico
PSPC01500G,LA NUOVA SCUOLA,VLE NAPOLI 40,http://www.lanuovascuola.it/,1,41,11,41044,Pesaro,0,,,,,,0.0,,,,,,Pesaro,10,Classico
PSPS020006,GUGLIELMO MARCONI,VIA NANTERRE 10,http://www.liceogmarconi.gov.it/,0,41,11,41044,Pesaro,202,74.89,71.56,78.52,76.28,26.82,8.07,93.08,6.92,13.67,86.42,75.95,Pesaro,10,Scientifico
PSPS005004,ENZO PICCININI,VLE NAPOLI 40,http://www.lanuovascuola.it/,1,41,11,41044,Pesaro,8,56.88,43.75,71.62,65.71,23.77,5.86,96.0,4.0,16.0,88.63,80.0,Pesaro,10,Scientifico
PSPS01000G,GIACOMO TORELLI,VLE KENNEDY 30,http://www.liceotorelli.it/,0,41,11,41013,Fano,31,72.16,65.07,80.01,77.0,26.08,7.39,91.58,8.42,14.74,80.25,77.63,Pesaro,10,Scientifico - Scienze applicate
PSPC06000D,NOLFI - APOLLONI,VIA TOMASSONI 2,http://www.liceonolfiapolloni.edu.it/,0,41,11,41013,Fano,48,62.16,56.07,68.78,60.74,25.63,6.99,84.14,15.86,12.41,84.5,80.86,Pesaro,10,Scienze Umane
PSSD01901D,FERRUCCIO MENGARONI,CSO XI SETTEMBRE 201,http://www.isamengaroni.it/,0,41,11,41044,Pesaro,0,,,,,,0.0,,,,,,Pesaro,10,Artistico
PSTD10000N,BRAMANTE - GENGA,VIA NANTERRE,http://www.itbramantegenga.it/home/,0,41,11,41044,Pesaro,96,60.85,55.81,66.4,62.89,25.06,7.05,65.05,34.95,9.69,84.33,75.43,Pesaro,10,Tecnico - Economico
PSTD003019,IS POLO 3,VLE XII SETTEMBRE 3,http://www.polotrefano.edu.it,0,41,11,41013,Fano,107,52.12,47.09,57.83,51.28,24.36,7.32,58.57,41.43,11.84,85.04,74.89,Pesaro,10,Tecnico - Economico
PSTA01301D,ANTONIO CECCHI,VIA CAPRILE 1,http://iiscecchi.gov.it/,0,41,11,41044,Pesaro,119,64.54,59.78,69.98,68.44,25.28,6.09,59.94,40.06,12.61,81.75,74.46,Pesaro,10,Tecnico - Tecnologico
RMPC080007,ENNIO QUIRINO VISCONTI,PZZA DEL COLLEGIO ROMANO 4,http://liceoeqvisconti.gov.it/,0,58,12,58091,Roma,131,82.36,78.44,86.49,80.16,28.15,6.57,90.61,9.39,8.63,86.15,86.59,Roma,10,Classico
RMPC23000X,TERENZIO MAMIANI,VLE DELLE MILIZIE 30,http://www.liceomamiani.gov.it,0,58,12,58091,Roma,100,81.52,77.23,86.11,75.85,28.46,5.52,93.02,6.98,10.96,85.47,81.38,Roma,10,Classico
