cod_scuola,tasso_precariato_docenti_pct,pct_tempo_indeterminato,fasce_eta_tempo_determinato,fasce_eta_tempo_indeterminato,anno_scolastico_personale,trasferiti_pct_scuola,trasferiti_pct_regione,trasferiti_pct_italia,pensionati_pct_scuola,pensionati_pct_regione,pensionati_pct_italia
TOPM035001,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOTE058011,28.7,71.2,"[9.4, 10.6, 6.2, 2.5]","[3.1, 10.0, 22.5, 35.6]",Docenti per fasce di età (%) (A.S. 2025/26),3.5,5.5,6.0,5.2,3.5,3.6
TOPQ04500Q,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPQ475003,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPMP2500E,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPL20500L,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPL03500P,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOSL020003,32.6,67.5,"[11.4, 12.6, 5.7, 2.9]","[2.9, 12.0, 20.6, 32.0]",Docenti per fasce di età (%) (A.S. 2025/26),2.6,5.5,6.0,4.1,3.5,3.6
TOSL01000C,26.0,74.0,"[6.0, 14.7, 3.3, 2.0]","[6.7, 17.3, 24.0, 26.0]",Docenti per fasce di età (%) (A.S. 2025/26),5.8,5.5,6.0,2.8,3.5,3.6
TOSD02000L,28.1,71.8,"[9.4, 10.7, 6.0, 2.0]","[5.4, 6.7, 31.5, 28.2]",Docenti per fasce di età (%) (A.S. 2025/26),6.5,5.5,6.0,3.6,3.5,3.6
TOTD090008,23.0,77.10000000000001,"[4.2, 11.5, 3.1, 4.2]","[1.0, 9.4, 24.0, 42.7]",Docenti per fasce di età (%) (A.S. 2025/26),8.3,5.5,6.0,4.2,3.5,3.6
TOTD034022,25.2,74.8,"[6.1, 8.9, 6.5, 3.7]","[2.8, 15.9, 22.9, 33.2]",Docenti per fasce di età (%) (A.S. 2025/26),6.3,5.5,6.0,6.5,3.5,3.6
TOTD067018,28.7,71.3,"[13.7, 7.8, 5.2, 2.0]","[4.6, 19.0, 21.6, 26.1]",Docenti per fasce di età (%) (A.S. 2025/26),5.4,5.5,6.0,4.8,3.5,3.6
TOTD06401R,24.3,75.7,"[10.4, 10.9, 2.0, 1.0]","[5.9, 13.9, 17.8, 38.1]",Docenti per fasce di età (%) (A.S. 2025/26),3.3,5.5,6.0,5.3,3.5,3.6
TOTD05301A,34.3,65.6,"[15.4, 11.2, 5.9, 1.8]","[4.7, 15.4, 18.9, 26.6]",Docenti per fasce di età (%) (A.S. 2025/26),6.6,5.5,6.0,0.9,3.5,3.6
TOTD003019,17.9,82.1,"[5.0, 8.6, 2.9, 1.4]","[5.8, 21.6, 22.3, 32.4]",Docenti per fasce di età (%) (A.S. 2025/26),3.7,5.5,6.0,3.6,3.5,3.6
TOTD05201E,34.6,65.6,"[13.2, 11.1, 7.7, 2.6]","[8.5, 14.5, 17.9, 24.7]",Docenti per fasce di età (%) (A.S. 2025/26),4.5,5.5,6.0,6.7,3.5,3.6
TOTD03701C,37.9,62.2,"[11.4, 16.6, 7.8, 2.1]","[11.4, 16.6, 14.0, 20.2]",Docenti per fasce di età (%) (A.S. 2025/26),8.3,5.5,6.0,3.9,3.5,3.6
TOTD068014,41.6,58.5,"[18.3, 14.4, 7.9, 1.0]","[11.4, 12.9, 10.4, 23.8]",Docenti per fasce di età (%) (A.S. 2025/26),3.5,5.5,6.0,4.6,3.5,3.6
TOTD06602D,37.8,62.2,"[18.9, 11.4, 4.0, 3.5]","[5.5, 14.4, 15.4, 26.9]",Docenti per fasce di età (%) (A.S. 2025/26),4.9,5.5,6.0,1.7,3.5,3.6
TOTD04201X,36.8,63.2,"[11.0, 14.1, 8.6, 3.1]","[10.4, 12.9, 19.0, 20.9]",Docenti per fasce di età (%) (A.S. 2025/26),6.5,5.5,6.0,1.0,3.5,3.6
TOTD054016,46.0,53.9,"[15.5, 16.0, 8.6, 5.9]","[5.3, 14.4, 14.4, 19.8]",Docenti per fasce di età (%) (A.S. 2025/26),4.3,5.5,6.0,3.1,3.5,3.6
TOTF051011,23.1,76.89999999999999,"[5.9, 7.0, 7.5, 2.7]","[2.7, 12.9, 20.4, 40.9]",Docenti per fasce di età (%) (A.S. 2025/26),2.2,5.5,6.0,7.1,3.5,3.6
TOTL03401B,25.2,74.8,"[6.1, 8.9, 6.5, 3.7]","[2.8, 15.9, 22.9, 33.2]",Docenti per fasce di età (%) (A.S. 2025/26),6.3,5.5,6.0,6.5,3.5,3.6
TOTL06801E,41.6,58.5,"[18.3, 14.4, 7.9, 1.0]","[11.4, 12.9, 10.4, 23.8]",Docenti per fasce di età (%) (A.S. 2025/26),3.5,5.5,6.0,4.6,3.5,3.6
TOTF06601P,37.8,62.2,"[18.9, 11.4, 4.0, 3.5]","[5.5, 14.4, 15.4, 26.9]",Docenti per fasce di età (%) (A.S. 2025/26),4.9,5.5,6.0,1.7,3.5,3.6
TOTL03701V,37.9,62.2,"[11.4, 16.6, 7.8, 2.1]","[11.4, 16.6, 14.0, 20.2]",Docenti per fasce di età (%) (A.S. 2025/26),8.3,5.5,6.0,3.9,3.5,3.6
TOTF06101G,34.0,65.9,"[19.0, 6.3, 7.1, 1.6]","[12.7, 14.3, 11.9, 27.0]",Docenti per fasce di età (%) (A.S. 2025/26),18.8,5.5,6.0,3.9,3.5,3.6
TOTF10000X,34.4,65.5,"[11.9, 9.4, 8.7, 4.4]","[6.2, 14.4, 13.7, 31.2]",Docenti per fasce di età (%) (A.S. 2025/26),2.7,5.5,6.0,4.3,3.5,3.6
TOTF01500R,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOTF14000A,34.4,65.5,"[20.1, 7.1, 3.6, 3.6]","[13.8, 13.8, 19.2, 18.7]",Docenti per fasce di età (%) (A.S. 2025/26),14.6,5.5,6.0,4.9,3.5,3.6
TOTF047019,40.5,59.7,"[17.3, 13.5, 7.1, 2.6]","[10.3, 16.7, 16.7, 16.0]",Docenti per fasce di età (%) (A.S. 2025/26),3.5,5.5,6.0,3.6,3.5,3.6
TOTF013016,41.7,58.4,"[10.2, 20.3, 7.6, 3.6]","[7.6, 16.8, 19.3, 14.7]",Docenti per fasce di età (%) (A.S. 2025/26),4.6,5.5,6.0,0.0,3.5,3.6
TOTF048015,41.1,59.1,"[21.0, 12.4, 6.7, 1.0]","[8.6, 8.6, 17.1, 24.8]",Docenti per fasce di età (%) (A.S. 2025/26),5.7,5.5,6.0,1.9,3.5,3.6
ALPS050005,20.6,79.3,"[6.9, 6.0, 6.0, 1.7]","[8.6, 15.5, 25.0, 30.2]",Docenti per fasce di età (%) (A.S. 2025/26),5.5,5.5,6.0,4.5,3.5,3.6
ALPC01601G,37.1,63.1,"[13.9, 8.7, 8.7, 5.8]","[8.7, 7.7, 15.9, 30.8]",Docenti per fasce di età (%) (A.S. 2025/26),4.1,5.5,6.0,3.3,3.5,3.6
ALPS020009,28.0,72.0,"[4.7, 7.0, 9.3, 7.0]","[7.0, 11.6, 17.4, 36.0]",Docenti per fasce di età (%) (A.S. 2025/26),5.0,5.5,6.0,3.3,3.5,3.6
ALPS01000P,21.0,79.0,"[11.3, 1.6, 6.5, 1.6]","[4.8, 12.9, 12.9, 48.4]",Docenti per fasce di età (%) (A.S. 2025/26),6.1,5.5,6.0,4.3,3.5,3.6
ALPS005007,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
ALTF01000R,25.5,74.5,"[6.2, 8.3, 5.5, 5.5]","[6.9, 13.1, 20.7, 33.8]",Docenti per fasce di età (%) (A.S. 2025/26),8.0,5.5,6.0,1.1,3.5,3.6
ALPS00401C,39.2,60.7,"[15.0, 11.2, 6.5, 6.5]","[13.1, 22.4, 14.0, 11.2]",Docenti per fasce di età (%) (A.S. 2025/26),21.5,5.5,6.0,3.3,3.5,3.6
ALPM01601Q,37.1,63.1,"[13.9, 8.7, 8.7, 5.8]","[8.7, 7.7, 15.9, 30.8]",Docenti per fasce di età (%) (A.S. 2025/26),4.1,5.5,6.0,3.3,3.5,3.6
