cod_scuola,tasso_precariato_docenti_pct,pct_tempo_indeterminato,fasce_eta_tempo_determinato,fasce_eta_tempo_indeterminato,anno_scolastico_personale,trasferiti_pct_scuola,trasferiti_pct_regione,trasferiti_pct_italia,pensionati_pct_scuola,pensionati_pct_regione,pensionati_pct_italia
MBTD053017,19.9,80.1,"[5.6, 7.1, 5.6, 1.6]","[9.5, 14.3, 24.6, 31.7]",Docenti per fasce di età (%) (A.S. 2025/26),3.2,5.4,6.0,3.3,3.5,3.6
MBTD068011,21.4,78.5,"[10.7, 6.0, 2.7, 2.0]","[5.4, 13.4, 23.5, 36.2]",Docenti per fasce di età (%) (A.S. 2025/26),4.8,5.4,6.0,7.3,3.5,3.6
MBTD08401V,26.0,73.8,"[6.5, 6.5, 9.3, 3.7]","[12.1, 16.8, 13.1, 31.8]",Docenti per fasce di età (%) (A.S. 2025/26),2.7,5.4,6.0,6.9,3.5,3.6
MITD02801N,28.3,71.7,"[11.2, 10.5, 4.6, 2.0]","[7.9, 17.8, 17.1, 28.9]",Docenti per fasce di età (%) (A.S. 2025/26),6.0,5.4,6.0,2.2,3.5,3.6
MITD35500G,,,,,,,,,,,
MBTF063014,28.7,71.4,"[9.8, 11.6, 5.5, 1.8]","[7.9, 22.6, 22.6, 18.3]",Docenti per fasce di età (%) (A.S. 2025/26),1.0,5.4,6.0,3.2,3.5,3.6
MBTF104015,37.1,62.9,"[7.1, 15.0, 10.6, 4.4]","[10.6, 20.4, 13.3, 18.6]",Docenti per fasce di età (%) (A.S. 2025/26),13.1,5.4,6.0,3.6,3.5,3.6
PVPC011013,25.7,74.3,"[10.3, 6.3, 7.4, 1.7]","[8.0, 15.4, 20.0, 30.9]",Docenti per fasce di età (%) (A.S. 2025/26),7.7,5.4,6.0,7.1,3.5,3.6
PVPS02000X,,,,,,,,,,,
PVPS011016,25.7,74.3,"[10.3, 6.3, 7.4, 1.7]","[8.0, 15.4, 20.0, 30.9]",Docenti per fasce di età (%) (A.S. 2025/26),7.7,5.4,6.0,7.1,3.5,3.6
PVPS05000Q,6.2,93.7,"[1.0, 4.2, 1.0, 0.0]","[10.4, 18.7, 22.9, 41.7]",Docenti per fasce di età (%) (A.S. 2025/26),1.1,5.4,6.0,3.4,3.5,3.6
PVPS01500C,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PVTF01000B,18.1,81.9,"[7.3, 5.9, 3.9, 1.0]","[12.2, 14.6, 26.8, 28.3]",Docenti per fasce di età (%) (A.S. 2025/26),3.7,5.4,6.0,1.3,3.5,3.6
PVPS5H500G,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PVPS775003,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PVPM01000A,19.5,80.39999999999999,"[8.4, 4.7, 5.3, 1.1]","[4.7, 12.6, 24.2, 38.9]",Docenti per fasce di età (%) (A.S. 2025/26),6.0,5.4,6.0,3.3,3.5,3.6
PVPMF55003,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PVPL045003,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PVSL00601G,19.4,80.5,"[9.4, 5.0, 4.4, 0.6]","[10.1, 15.1, 27.0, 28.3]",Docenti per fasce di età (%) (A.S. 2025/26),4.4,5.4,6.0,0.0,3.5,3.6
PVSL015009,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PVTD010005,28.4,71.6,"[8.9, 13.0, 4.9, 1.6]","[4.1, 11.4, 24.4, 31.7]",Docenti per fasce di età (%) (A.S. 2025/26),1.1,5.4,6.0,4.5,3.5,3.6
PVTD065009,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PVTL006022,19.4,80.5,"[9.4, 5.0, 4.4, 0.6]","[10.1, 15.1, 27.0, 28.3]",Docenti per fasce di età (%) (A.S. 2025/26),4.4,5.4,6.0,0.0,3.5,3.6
PVTBDH500G,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
SOPS01000E,,,,,,,,,,,
SOPS00801G,39.4,60.6,"[16.2, 7.7, 9.9, 5.6]","[6.3, 16.2, 12.7, 25.4]",Docenti per fasce di età (%) (A.S. 2025/26),4.7,5.4,6.0,4.8,3.5,3.6
SOPS050001,19.4,80.7,"[10.2, 4.1, 2.0, 3.1]","[7.1, 13.3, 27.6, 32.7]",Docenti per fasce di età (%) (A.S. 2025/26),4.0,5.4,6.0,2.7,3.5,3.6
BSPS00701P,34.300000000000004,65.4,"[14.9, 10.3, 5.7, 3.4]","[10.3, 14.9, 16.1, 24.1]",Docenti per fasce di età (%) (A.S. 2025/26),5.6,5.4,6.0,7.8,3.5,3.6
SOPM01101C,,,,,,,,,,,
SOTD01301V,37.4,62.6,"[13.0, 13.0, 9.8, 1.6]","[4.1, 14.6, 17.9, 26.0]",Docenti per fasce di età (%) (A.S. 2025/26),10.8,5.4,6.0,5.1,3.5,3.6
SOTD004014,,,,,,,,,,,
SOTD00801B,39.4,60.6,"[16.2, 7.7, 9.9, 5.6]","[6.3, 16.2, 12.7, 25.4]",Docenti per fasce di età (%) (A.S. 2025/26),4.7,5.4,6.0,4.8,3.5,3.6
SOTF01000L,9.7,90.3,"[4.3, 3.2, 2.2, 0.0]","[2.2, 16.1, 21.5, 50.5]",Docenti per fasce di età (%) (A.S. 2025/26),3.4,5.4,6.0,4.6,3.5,3.6
SOTA01000X,41.7,58.3,"[14.6, 14.6, 8.3, 4.2]","[8.3, 14.6, 12.5, 22.9]",Docenti per fasce di età (%) (A.S. 2025/26),10.3,5.4,6.0,3.1,3.5,3.6
SOTL00401E,,,,,,,,,,,
VAPC02701R,17.4,82.6,"[8.7, 5.8, 1.0, 1.9]","[4.9, 10.7, 26.2, 40.8]",Docenti per fasce di età (%) (A.S. 2025/26),4.8,5.4,6.0,1.2,3.5,3.6
VAPC00101L,11.8,88.2,"[4.2, 5.9, 1.7, 0.0]","[9.2, 17.6, 26.9, 34.5]",Docenti per fasce di età (%) (A.S. 2025/26),6.6,5.4,6.0,6.7,3.5,3.6
VAPS004017,35.7,64.5,"[12.9, 15.8, 5.0, 2.0]","[13.9, 11.9, 5.0, 33.7]",Docenti per fasce di età (%) (A.S. 2025/26),11.6,5.4,6.0,0.0,3.5,3.6
VAPS03000P,12.7,87.3,"[5.9, 2.9, 2.9, 1.0]","[6.9, 5.9, 22.5, 52.0]",Docenti per fasce di età (%) (A.S. 2025/26),1.2,5.4,6.0,4.7,3.5,3.6
VAPS785001,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VAPSQ4500H,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VAPLDB5003,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VATD004013,35.7,64.5,"[12.9, 15.8, 5.0, 2.0]","[13.9, 11.9, 5.0, 33.7]",Docenti per fasce di età (%) (A.S. 2025/26),11.6,5.4,6.0,0.0,3.5,3.6
VATD018011,18.2,81.89999999999999,"[6.1, 6.1, 3.0, 3.0]","[6.1, 16.2, 26.3, 33.3]",Docenti per fasce di età (%) (A.S. 2025/26),2.4,5.4,6.0,0.0,3.5,3.6
VATD01301T,30.2,69.8,"[14.2, 11.3, 4.7, 0.0]","[5.7, 13.2, 13.2, 37.7]",Docenti per fasce di età (%) (A.S. 2025/26),1.3,5.4,6.0,2.6,3.5,3.6
VATL013018,30.2,69.8,"[14.2, 11.3, 4.7, 0.0]","[5.7, 13.2, 13.2, 37.7]",Docenti per fasce di età (%) (A.S. 2025/26),1.3,5.4,6.0,2.6,3.5,3.6
VATF018017,18.2,81.89999999999999,"[6.1, 6.1, 3.0, 3.0]","[6.1, 16.2, 26.3, 33.3]",Docenti per fasce di età (%) (A.S. 2025/26),2.4,5.4,6.0,0.0,3.5,3.6
VATF01701B,31.0,68.89999999999999,"[9.1, 9.9, 8.6, 3.4]","[7.3, 20.7, 12.5, 28.4]",Docenti per fasce di età (%) (A.S. 2025/26),5.5,5.4,6.0,2.8,3.5,3.6
VATB215007,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TNPC04000G,19.6,80.4,"[10.9, 2.2, 6.5, 0.0]","[0.0, 4.3, 26.1, 50.0]",Docenti per fasce di età (%) (A.S. 2025/26),2.9,5.0,6.0,2.6,2.5,3.6
TNPC01500V,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TNPS01000V,20.5,79.60000000000001,"[8.6, 7.5, 2.2, 2.2]","[2.2, 10.8, 29.0, 37.6]",Docenti per fasce di età (%) (A.S. 2025/26),0.0,5.0,6.0,1.4,2.5,3.6
TNPS02000D,19.9,80.1,"[7.6, 6.4, 4.1, 1.8]","[4.7, 19.3, 25.7, 30.4]",Docenti per fasce di età (%) (A.S. 2025/26),4.4,5.0,6.0,0.7,2.5,3.6
TNPS015002,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TNPC02000A,18.7,81.3,"[4.7, 7.5, 3.7, 2.8]","[0.0, 2.8, 27.1, 51.4]",Docenti per fasce di età (%) (A.S. 2025/26),0.0,5.0,6.0,3.5,2.5,3.6
TNPS00301R,36.9,63.2,"[15.8, 9.2, 9.9, 2.0]","[9.9, 19.1, 21.7, 12.5]",Docenti per fasce di età (%) (A.S. 2025/26),4.8,5.0,6.0,2.4,2.5,3.6
TNPM01000X,37.5,62.5,"[15.0, 8.1, 12.5, 1.9]","[1.9, 7.5, 24.4, 28.7]",Docenti per fasce di età (%) (A.S. 2025/26),5.4,5.0,6.0,3.2,2.5,3.6
TNPM015003,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TNPS00401L,36.6,63.4,"[13.7, 12.4, 7.2, 3.3]","[1.3, 8.5, 27.5, 26.1]",Docenti per fasce di età (%) (A.S. 2025/26),4.3,5.0,6.0,4.1,2.5,3.6
TNPS11000Q,28.6,71.39999999999999,"[9.2, 9.2, 5.1, 5.1]","[1.0, 5.1, 22.4, 42.9]",Docenti per fasce di età (%) (A.S. 2025/26),4.4,5.0,6.0,4.2,2.5,3.6
TNSD02000X,29.7,70.4,"[9.9, 9.9, 7.5, 2.4]","[3.2, 12.6, 28.1, 26.5]",Docenti per fasce di età (%) (A.S. 2025/26),5.2,5.0,6.0,1.7,2.5,3.6
TNSD020011,29.7,70.4,"[9.9, 9.9, 7.5, 2.4]","[3.2, 12.6, 28.1, 26.5]",Docenti per fasce di età (%) (A.S. 2025/26),5.2,5.0,6.0,1.7,2.5,3.6
TNTD18000T,30.9,69.1,"[6.8, 11.7, 9.3, 3.1]","[3.1, 8.6, 24.1, 33.3]",Docenti per fasce di età (%) (A.S. 2025/26),2.1,5.0,6.0,3.1,2.5,3.6
TNTN01500Q,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TNTD37500F,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TNIS013001,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TNTE045005,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBPC040008,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBPS09000C,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBPS01000G,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBPS005004,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBTF020008,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBPQ02500E,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBPM020007,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBTE015002,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBPL01500D,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TNSD010009,57.9,41.9,"[26.1, 14.5, 15.9, 1.4]","[1.4, 15.9, 11.6, 13.0]",Docenti per fasce di età (%) (A.S. 2025/26),3.3,5.0,6.0,3.1,2.5,3.6
IBTD040007,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBTD025005,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
IBTL01000T,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VEPC001013,,,,,,,,,,,
VEPC04000L,,,,,,,,,,,
VEPC01000R,9.8,90.2,"[1.6, 4.9, 3.3, 0.0]","[6.6, 9.8, 21.3, 52.5]",Docenti per fasce di età (%) (A.S. 2025/26),5.4,5.8,6.0,5.4,3.8,3.6
VEPC02500E,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VEPS05000A,14.8,85.0,"[5.7, 3.4, 2.3, 3.4]","[8.0, 18.4, 27.6, 31.0]",Docenti per fasce di età (%) (A.S. 2025/26),6.3,5.8,6.0,6.5,3.8,3.6
VEPS023013,18.1,81.9,"[5.0, 6.9, 5.6, 0.6]","[6.9, 17.5, 29.4, 28.1]",Docenti per fasce di età (%) (A.S. 2025/26),0.0,5.8,6.0,4.8,3.8,3.6
VEPS01000X,,,,,,,,,,,
VEPS00500C,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VEPS015003,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VEPM02000G,20.4,79.6,"[7.5, 5.4, 4.8, 2.7]","[12.2, 8.2, 19.7, 39.5]",Docenti per fasce di età (%) (A.S. 2025/26),2.7,5.8,6.0,6.5,3.8,3.6
VEPM001017,,,,,,,,,,,
PDPM002011,25.9,74.1,"[11.8, 4.1, 6.5, 3.5]","[10.0, 14.7, 24.1, 25.3]",Docenti per fasce di età (%) (A.S. 2025/26),0.9,5.8,6.0,2.6,3.8,3.6
TVPM010001,14.4,85.8,"[3.6, 3.6, 3.6, 3.6]","[4.8, 11.9, 29.8, 39.3]",Docenti per fasce di età (%) (A.S. 2025/26),7.7,5.8,6.0,6.3,3.8,3.6
TVTD09000L,11.9,88.2,"[1.6, 5.5, 2.4, 2.4]","[6.3, 12.6, 24.4, 44.9]",Docenti per fasce di età (%) (A.S. 2025/26),4.6,5.8,6.0,3.8,3.8,3.6
TVPC48500H,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VEPL01500T,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VEPL4H500R,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VESL01000R,,,,,,,,,,,
VESD020001,35.5,64.4,"[10.7, 11.4, 9.4, 4.0]","[4.0, 9.4, 15.4, 35.6]",Docenti per fasce di età (%) (A.S. 2025/26),5.2,5.8,6.0,4.2,3.8,3.6
VETN01601N,20.3,79.60000000000001,"[7.6, 5.1, 5.9, 1.7]","[3.4, 7.6, 14.4, 54.2]",Docenti per fasce di età (%) (A.S. 2025/26),2.2,5.8,6.0,8.6,3.8,3.6
VETN018019,19.2,80.8,"[6.4, 5.3, 4.3, 3.2]","[6.4, 13.8, 22.3, 38.3]",Docenti per fasce di età (%) (A.S. 2025/26),6.2,5.8,6.0,9.0,3.8,3.6
VETD00401D,46.4,53.5,"[18.8, 11.6, 10.9, 5.1]","[7.2, 15.9, 13.0, 17.4]",Docenti per fasce di età (%) (A.S. 2025/26),15.1,5.8,6.0,4.4,3.8,3.6
VETN745000,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VETF04000T,29.5,70.4,"[11.3, 5.2, 10.4, 2.6]","[6.1, 10.4, 20.9, 33.0]",Docenti per fasce di età (%) (A.S. 2025/26),10.5,5.8,6.0,4.7,3.8,3.6
VETE008018,35.6,64.4,"[12.4, 12.4, 7.2, 3.6]","[9.8, 14.4, 19.6, 20.6]",Docenti per fasce di età (%) (A.S. 2025/26),12.0,5.8,6.0,1.7,3.8,3.6
VETF008013,35.6,64.4,"[12.4, 12.4, 7.2, 3.6]","[9.8, 14.4, 19.6, 20.6]",Docenti per fasce di età (%) (A.S. 2025/26),12.0,5.8,6.0,1.7,3.8,3.6
VETF01901D,31.1,68.8,"[11.9, 7.3, 5.5, 6.4]","[5.5, 10.1, 25.7, 27.5]",Docenti per fasce di età (%) (A.S. 2025/26),2.8,5.8,6.0,2.9,3.8,3.6
VETF015005,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VETH00801E,35.6,64.4,"[12.4, 12.4, 7.2, 3.6]","[9.8, 14.4, 19.6, 20.6]",Docenti per fasce di età (%) (A.S. 2025/26),12.0,5.8,6.0,1.7,3.8,3.6
VETFO1500N,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
BLPC00701N,3.0,97.1,"[0.0, 3.0, 0.0, 0.0]","[7.5, 9.0, 20.9, 59.7]",Docenti per fasce di età (%) (A.S. 2025/26),5.9,5.8,6.0,4.4,3.8,3.6
BLPC01500G,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
BLPS020006,19.7,80.3,"[7.9, 7.9, 3.9, 0.0]","[3.9, 14.5, 31.6, 30.3]",Docenti per fasce di età (%) (A.S. 2025/26),1.7,5.8,6.0,5.1,3.8,3.6
BLPS00701R,3.0,97.1,"[0.0, 3.0, 0.0, 0.0]","[7.5, 9.0, 20.9, 59.7]",Docenti per fasce di età (%) (A.S. 2025/26),5.9,5.8,6.0,4.4,3.8,3.6
BLPS006011,51.7,48.4,"[25.3, 16.5, 9.9, 0.0]","[8.8, 11.0, 13.2, 15.4]",Docenti per fasce di età (%) (A.S. 2025/26),10.6,5.8,6.0,4.3,3.8,3.6
TVPC120008,15.8,84.2,"[6.1, 4.9, 2.4, 2.4]","[4.9, 23.2, 30.5, 25.6]",Docenti per fasce di età (%) (A.S. 2025/26),0.0,5.8,6.0,1.6,3.8,3.6
TVPSN55005,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
BLPSD7500D,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
BLPS54500H,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
BLPM01000L,26.0,74.0,"[10.9, 4.3, 7.2, 3.6]","[2.2, 11.6, 22.5, 37.7]",Docenti per fasce di età (%) (A.S. 2025/26),2.0,5.8,6.0,0.0,3.8,3.6
BLPM01500Q,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
BLPMMN5000,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TVSD01000A,19.2,80.8,"[9.0, 3.8, 3.8, 2.6]","[9.0, 12.8, 23.1, 35.9]",Docenti per fasce di età (%) (A.S. 2025/26),7.7,5.8,6.0,6.6,3.8,3.6
BLSL012015,31.5,68.5,"[10.0, 10.0, 8.6, 2.9]","[6.4, 17.1, 15.0, 30.0]",Docenti per fasce di età (%) (A.S. 2025/26),4.5,5.8,6.0,1.1,3.8,3.6
BLTD020002,,,,,,,,,,,
BLTD00801C,31.8,68.10000000000001,"[13.0, 6.5, 8.4, 3.9]","[5.2, 9.7, 20.1, 33.1]",Docenti per fasce di età (%) (A.S. 2025/26),3.5,5.8,6.0,1.1,3.8,3.6
TVTD007011,35.0,65.0,"[10.2, 10.2, 12.4, 2.2]","[9.5, 11.7, 19.7, 24.1]",Docenti per fasce di età (%) (A.S. 2025/26),3.3,5.8,6.0,10.6,3.8,3.6
BLTA00901T,33.9,66.0,"[15.5, 6.8, 5.8, 5.8]","[8.7, 14.6, 19.4, 23.3]",Docenti per fasce di età (%) (A.S. 2025/26),12.9,5.8,6.0,1.6,3.8,3.6
BLTF006013,51.7,48.4,"[25.3, 16.5, 9.9, 0.0]","[8.8, 11.0, 13.2, 15.4]",Docenti per fasce di età (%) (A.S. 2025/26),10.6,5.8,6.0,4.3,3.8,3.6
BLTF01101E,29.2,70.7,"[11.7, 7.8, 7.1, 2.6]","[5.8, 13.0, 20.1, 31.8]",Docenti per fasce di età (%) (A.S. 2025/26),4.9,5.8,6.0,3.9,3.8,3.6
BLTF00801P,31.8,68.10000000000001,"[13.0, 6.5, 8.4, 3.9]","[5.2, 9.7, 20.1, 33.1]",Docenti per fasce di età (%) (A.S. 2025/26),3.5,5.8,6.0,1.1,3.8,3.6
TVTF007017,35.0,65.0,"[10.2, 10.2, 12.4, 2.2]","[9.5, 11.7, 19.7, 24.1]",Docenti per fasce di età (%) (A.S. 2025/26),3.3,5.8,6.0,10.6,3.8,3.6
PDPC001011,18.6,81.3,"[8.3, 4.8, 4.1, 1.4]","[6.2, 11.7, 26.2, 37.2]",Docenti per fasce di età (%) (A.S. 2025/26),1.9,5.8,6.0,1.9,3.8,3.6
PDPC03000X,9.6,90.5,"[3.2, 4.8, 1.6, 0.0]","[1.6, 7.9, 27.0, 54.0]",Docenti per fasce di età (%) (A.S. 2025/26),7.8,5.8,6.0,9.4,3.8,3.6
PDPC01500T,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PDPS02000C,4.5,95.4,"[1.5, 0.0, 1.5, 1.5]","[4.6, 6.2, 27.7, 56.9]",Docenti per fasce di età (%) (A.S. 2025/26),1.7,5.8,6.0,5.0,3.8,3.6
PDPS030003,10.1,89.8,"[2.9, 2.9, 4.3, 0.0]","[2.9, 15.9, 29.0, 42.0]",Docenti per fasce di età (%) (A.S. 2025/26),3.2,5.8,6.0,6.3,3.8,3.6
PDPS01000T,9.7,90.2,"[1.2, 6.1, 1.2, 1.2]","[2.4, 18.3, 32.9, 36.6]",Docenti per fasce di età (%) (A.S. 2025/26),2.7,5.8,6.0,6.7,3.8,3.6
PDPS77500P,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PDPS06000V,12.6,87.3,"[2.3, 6.9, 2.3, 1.1]","[2.3, 14.9, 27.6, 42.5]",Docenti per fasce di età (%) (A.S. 2025/26),0.0,5.8,6.0,3.8,3.8,3.6
PDPS02500G,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PDPS035006,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PDPS065002,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VEPS07000G,15.5,84.4,"[5.8, 2.9, 1.0, 5.8]","[11.7, 22.3, 8.7, 41.7]",Docenti per fasce di età (%) (A.S. 2025/26),4.6,5.8,6.0,3.5,3.8,3.6
PDPS014016,19.1,80.9,"[6.8, 5.0, 5.5, 1.8]","[6.8, 21.4, 18.6, 34.1]",Docenti per fasce di età (%) (A.S. 2025/26),3.5,5.8,6.0,2.9,3.8,3.6
PDPS00500A,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PDPM01000V,14.4,85.5,"[8.4, 1.2, 2.4, 2.4]","[4.8, 10.8, 20.5, 49.4]",Docenti per fasce di età (%) (A.S. 2025/26),4.3,5.8,6.0,2.9,3.8,3.6
PDPM00500B,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PDPM001015,18.6,81.3,"[8.3, 4.8, 4.1, 1.4]","[6.2, 11.7, 26.2, 37.2]",Docenti per fasce di età (%) (A.S. 2025/26),1.9,5.8,6.0,1.9,3.8,3.6
PDTE029017,14.6,85.3,"[5.1, 2.5, 3.2, 3.8]","[5.7, 17.2, 25.5, 36.9]",Docenti per fasce di età (%) (A.S. 2025/26),2.3,5.8,6.0,7.9,3.8,3.6
PDPL04500G,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PDPL02500A,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PDSL01000P,15.5,84.5,"[3.3, 5.6, 4.4, 2.2]","[3.3, 15.6, 25.6, 40.0]",Docenti per fasce di età (%) (A.S. 2025/26),5.3,5.8,6.0,2.7,3.8,3.6
PDSL028011,31.8,68.2,"[11.5, 12.1, 5.7, 2.5]","[8.9, 21.7, 21.7, 15.9]",Docenti per fasce di età (%) (A.S. 2025/26),9.5,5.8,6.0,6.9,3.8,3.6
PDSD03000D,23.5,76.5,"[5.9, 10.1, 5.0, 2.5]","[1.7, 16.8, 22.7, 35.3]",Docenti per fasce di età (%) (A.S. 2025/26),6.5,5.8,6.0,7.5,3.8,3.6
PDTD01000N,17.9,82.1,"[5.7, 4.7, 2.8, 4.7]","[4.7, 14.2, 17.9, 45.3]",Docenti per fasce di età (%) (A.S. 2025/26),4.5,5.8,6.0,4.5,3.8,3.6
PDTD20000R,20.3,79.8,"[7.6, 7.6, 3.8, 1.3]","[5.7, 10.8, 12.7, 50.6]",Docenti per fasce di età (%) (A.S. 2025/26),2.5,5.8,6.0,11.4,3.8,3.6
PDTD01500R,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PDTD02801X,31.8,68.2,"[11.5, 12.1, 5.7, 2.5]","[8.9, 21.7, 21.7, 15.9]",Docenti per fasce di età (%) (A.S. 2025/26),9.5,5.8,6.0,6.9,3.8,3.6
PDTD027014,38.4,61.5,"[14.1, 7.7, 11.5, 5.1]","[10.3, 11.5, 14.1, 25.6]",Docenti per fasce di età (%) (A.S. 2025/26),13.8,5.8,6.0,2.0,3.8,3.6
PDTF04000Q,8.1,91.8,"[2.7, 3.6, 1.8, 0.0]","[11.7, 17.1, 26.1, 36.9]",Docenti per fasce di età (%) (A.S. 2025/26),3.3,5.8,6.0,5.6,3.8,3.6
PDTL010004,28.8,71.2,"[8.2, 5.5, 11.0, 4.1]","[5.5, 12.3, 20.5, 32.9]",Docenti per fasce di età (%) (A.S. 2025/26),9.8,5.8,6.0,0.0,3.8,3.6
PDTA00601L,19.8,80.0,"[6.6, 7.2, 4.2, 1.8]","[7.8, 11.4, 23.5, 37.3]",Docenti per fasce di età (%) (A.S. 2025/26),5.8,5.8,6.0,4.0,3.8,3.6
PDTF02000E,16.4,83.5,"[7.5, 5.2, 2.2, 1.5]","[9.7, 13.4, 21.6, 38.8]",Docenti per fasce di età (%) (A.S. 2025/26),9.1,5.8,6.0,2.8,3.8,3.6
PDTF015003,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
PDTF022017,26.7,73.3,"[13.0, 4.8, 5.5, 3.4]","[13.0, 8.2, 13.7, 38.4]",Docenti per fasce di età (%) (A.S. 2025/26),10.4,5.8,6.0,3.0,3.8,3.6
PDPC02301T,14.7,85.2,"[2.2, 5.9, 4.4, 2.2]","[6.7, 25.9, 22.2, 30.4]",Docenti per fasce di età (%) (A.S. 2025/26),0.9,5.8,6.0,0.9,3.8,3.6
ROPC00101T,23.0,77.0,"[9.0, 7.0, 6.0, 1.0]","[11.0, 9.0, 26.0, 31.0]",Docenti per fasce di età (%) (A.S. 2025/26),8.2,5.8,6.0,4.2,3.8,3.6
ROPM01000Q,17.7,82.4,"[7.3, 5.6, 4.8, 0.0]","[7.3, 21.0, 21.0, 33.1]",Docenti per fasce di età (%) (A.S. 2025/26),8.3,5.8,6.0,7.4,3.8,3.6
ROPS01000P,12.5,87.5,"[4.7, 3.1, 4.7, 0.0]","[6.2, 12.5, 26.6, 42.2]",Docenti per fasce di età (%) (A.S. 2025/26),1.8,5.8,6.0,0.0,3.8,3.6
ROPS001011,23.0,77.0,"[9.0, 7.0, 6.0, 1.0]","[11.0, 9.0, 26.0, 31.0]",Docenti per fasce di età (%) (A.S. 2025/26),8.2,5.8,6.0,4.2,3.8,3.6
PDPS00301Q,19.0,81.0,"[4.7, 6.8, 6.1, 1.4]","[10.1, 18.9, 27.0, 25.0]",Docenti per fasce di età (%) (A.S. 2025/26),9.9,5.8,6.0,2.8,3.8,3.6
PDPS01101P,,,,,,,,,,,
ROPS007021,19.7,80.3,"[5.8, 7.3, 4.4, 2.2]","[9.5, 14.6, 25.5, 30.7]",Docenti per fasce di età (%) (A.S. 2025/26),5.9,5.8,6.0,4.0,3.8,3.6
FEPC020005,10.700000000000001,89.4,"[1.8, 3.5, 2.7, 2.7]","[1.8, 9.7, 28.3, 49.6]",Docenti per fasce di età (%) (A.S. 2025/26),5.7,5.5,6.0,7.4,3.1,3.6
